Site SKU,Master code,Name,Site price (incl),Master retail (incl),Delta (master - site)
MMR-7090,MMR-7090,Mastodon 12 inch Oval Paper Air Filter Element,334.95,329.99,-4.96
MMR-12035,MMR-12035,Mastodon 36 Inch Universal Throttle Cable Black Plastic,484.93,479.99,-4.94
MMR-12032,MMR-12032,Mastodon Universal Braided Throttle Cable 24 Inch Black,484.93,479.99,-4.94
MMR-3901-H,MMR-3901-H,Mastodon Billet Trunk Hinges Fits 1967-1969 Camaro,5625.06,5629.99,+4.93
MMR-GW-63,MMR-GW-63,"Mastodon Exhaust Cut-Out, Stainless Steel 304, 2.5",3984.91,3979.99,-4.92
MMR-GW-76,MMR-GW-76,"Mastodon Exhaust Cut-Out, Stainless Steel 304, 3.0",3984.91,3979.99,-4.92
MMR-25051,MMR-25051,Mastodon Alternator Bracket LWP Small Block Chevy,615.09,619.99,+4.90
MMR-25050,MMR-25050,Mastodon Alternator Bracket For Long Water Pump,615.09,619.99,+4.90
MMR-25066,MMR-25066,Mastodon Universal Steel Battery Tray Holder,1074.87,1069.99,-4.88
MMR-FRS204-BK,MMR-FRS204-BK,Master Cylinder Black,2485.12,2489.99,+4.87
MMR-FRS204-C,MMR-FRS204-C,Mastodon Master Cylinder Chrome,2485.12,2489.99,+4.87
L817,L817,"GM Chevy Hyd Flat Follower Lifter, EA",274.86,269.99,-4.87
CC400,CC400,Cam Bearing Chevy,575.14,579.99,+4.85
MMR-11225,MMR-11225,"Mastodon Mechanical Fuel Pump Eccentric Kit, SBF",435.14,439.99,+4.85
MMR-BCH,MMR-BCH,Mastodon LS3 15 degree bare cylinder head,18774.82,18769.99,-4.83
MMR-11103,MMR-11103,"Mastodon Timing Chain Cover Tab Maker, Sbc",154.82,149.99,-4.83
BB253JSTD,BB253JSTD,Enginetech Rod Bearing GM Chevy Small Block Large J,764.81,759.99,-4.82
MMR-38015,MMR-38015,Mastodon LS Wire Set 135,2384.81,2379.99,-4.82
PSM6GCC-RW,PSM6GCC-RW,Prosport Mechanical Gauge Set 52mm Red Face & Chro,3355.17,3359.99,+4.82
Z-297,Z-297,GUD Oil Filter Z297,85.18,89.99,+4.81
Z-280,Z-280,GUD Oil Filter Z280,85.18,89.99,+4.81
CC-7832-16,CC-7832-16,"COMP Cams High Energy Pushrods , Steel, 5/16 in. D",1665.21,1669.99,+4.78
MMR-58024-B,MMR-58024-B,"Mastodon Carburetor Spacer, 4 BBL, 2″ Ported Pheno",564.77,559.99,-4.78
238WRCVAPK-R(BAR),238WRCVAPK-R(BAR),"Prosport Performance Vacuum Bar Gauge, 60mm, LED 3",3585.23,3589.99,+4.76
BEU-404-000.R12.-1,BEU-404-000.R12.-1,Air Flow Speed 3 32 Pass 4 Way Aluminium Coil,1935.23,1939.99,+4.76
MMR-11291,MMR-11291,Mastodon Stainless Engine Bolt Kit Set,995.24,999.99,+4.75
MMR-11185,MMR-11185,Mastodon GM Control Arm Shim Kit,155.24,159.99,+4.75
BC240J010,BC240J010,Main Brng Ford 3.6L 221 4.2L 255 4.3L 260 4.7L 289,1455.27,1459.99,+4.72
MMR-9160,MMR-9160,"Mastodon Radiator, Chevy, 24 Inch (610mm), 3 Row",5315.27,5319.99,+4.72
MMR-75025,MMR-75025,"Mastodon LS Valve Covers (Finned, Coil Mounts, Satin Alumini",5315.27,5319.99,+4.72
MMR-LY-TL-002,MMR-LY-TL-002,Mastodon LED Turning Light with Angel eye,604.70,599.99,-4.71
BB608J020,BB608J020,ROD BRNG FORD 5.8L 351 WINDSOR,1414.68,1409.99,-4.69
MMR-77001,MMR-77001,Mastodon Universal 16 inch Electric Slim Radiator F,1114.67,1109.99,-4.68
V1650B,V1650B,Enginetech SBC Intake Valve 2.02,255.31,259.99,+4.68
MMR-31068,MMR-31068,Mastodon Column Mounted Blinker Turn Signal Switch For Gm P,455.32,459.99,+4.67
PK-NWA11587B,PK-NWA11587B,"Depo Racing Speedometer, 115mm, LED, 0-300 kmh",5534.66,5529.99,-4.67
BRG-014949,BRG-014949,Borgeson Universal Steering U-Joints,7835.33,7839.99,+4.66
