Site SKU,Master code,Name,Site price (incl),Master retail (incl),Delta (master - site)
FEL-1211,FEL-1211,Fel-Pro Performance Intake Manifold Gasket Sets,1021.43,1019.99,-1.44
MMR-BBC-315-PRO,MMR-BBC-315-PRO,Mastodon BBC 315 Cylinder Head Assembled,39201.41,39199.99,-1.42
MMR-25024,MMR-25024,Mastodon Polished Aluminum Timing Tab SBC 305/327/350,541.41,539.99,-1.42
37968,37968,United Pacific LED Aux Light,461.41,459.99,-1.42
MMR-02065BK,MMR-02065BK,Mastodon Black 7mm/8mm Spark Plug Wire Separators,58.58,59.99,+1.41
A-2257,A-2257,"Anchor Industries EngineMounts, Ford 289, 302, 351",1221.39,1219.99,-1.40
BC115J STD,BC115J STD,Enginetech Chrysler 5.7L Main Bearing (Standard),838.59,839.99,+1.40
BC115J25,BC115J25,Enginetech Chrysler 5.7L Main Bearing (0.25mm),838.59,839.99,+1.40
PK9B,PK9B,Enginetech Windsor expansion plug kit,591.39,589.99,-1.40
CC448,CC448,Enginetech camshaft bearing 351 Cleveland,591.39,589.99,-1.40
MMR-PW-810,MMR-PW-810,"Mastodon Power Window Kit, 2 Door",2758.59,2759.99,+1.40
MMR-6002-A,MMR-6002-A,Mastodon 9 Bolt Billet Polished GM Hub Adapter,1231.39,1229.99,-1.40
MMR-3016,MMR-3016,Mastodon Steering Column Joint,778.60,779.99,+1.39
MMR-3001BL,MMR-3001BL,Mastodon Universal Ignition Wire Set 8.5mm 90 Degr,1148.61,1149.99,+1.38
MMR-11372,MMR-11372,Mastodon 1″ Aluminium Mechanical Fan Spacer Kit,258.62,259.99,+1.37
ARP 135-3707,ARP 135-3707,ARP High Performance Series Cylinder Head Bolt Kit,5421.35,5419.99,-1.36
KNDI-002,KNDI-002,V8 Distributor,1641.35,1639.99,-1.36
MMR-11350,MMR-11350,Ford Oil Sending Unit Extension Mastodon,471.34,469.99,-1.35
MMR-9190,MMR-9190,Mastodon Champion Radiator Upper Outlet Left 35 Lo,4781.30,4779.99,-1.31
BB607J020,BB607J020,Enginetech Ford 351 Cleveland Rod Bearing (0.20mm),598.69,599.99,+1.30
BB607J030,BB607J030,Enginetech Ford 351 Cleveland Rod Bearing (0.30mm),598.69,599.99,+1.30
BB607J10,BB607J10,Enginetech Ford 351 Cleveland Rod Bearing (0.10mm),598.69,599.99,+1.30
125-25,125-25,Holley Single Stage Valve STD,511.29,509.99,-1.30
MMR-Coil-Lu,MMR-Coil-Lu,Mastodon Coilovers Set for Lumina,37491.28,37489.99,-1.29
MMR-SBF-001,MMR-SBF-001,"Mastodon Intake Manifold, Dual Plane Aluminum,SBF",9041.28,9039.99,-1.29
MMR-7379,MMR-7379,Mastodon Hood Hinge 73-79 Ford Truck,23371.27,23369.99,-1.28
MMR-11360,MMR-11360,Mastodon Breather Pushin Round Chrome,198.73,199.99,+1.26
MMR-11363,MMR-11363,Mastodon Round Breather with Vent,198.73,199.99,+1.26
MMR-11144-B,MMR-11144-B,Mastodon SBC Fuel Pump Mounting plate + Gasket,198.73,199.99,+1.26
MMR-121810,MMR-121810,Mastodon Horn Button 6 Bolt Polished,341.24,339.99,-1.25
MMR-62010,MMR-62010,Mastodon Ford Sb Windsor Timing Chain Cover,1641.23,1639.99,-1.24
SI-AT26194,SI-AT26194,"Door Mirrors, ROund Bowtie, Outside",2128.75,2129.99,+1.24
BC293J020,BC293J020,MAIN BEARING FORD 5.8L 351 CLEVELAND,1281.20,1279.99,-1.21
MMR-8247-BK,MMR-8247BK,Classic 14″ Billet Steering Wheel Classic Mastodon,3771.20,3769.99,-1.21
MMR-DL-870,MMR-DL-870,"Mastodon Central Door Lock Kit, 2 Door",608.79,609.99,+1.20
MMR-36050678,MMR-36050678,"Mastodon Electric Power Steering, Volvo C30 / S40 / V50",9811.17,9809.99,-1.18
MMR-8247,MMR-8247,"Mastodon Billet Steering Wheel 14″ Satin Spoke, 9",3771.17,3769.99,-1.18
MMR-SBF-185-PRO,MMR-SBF-185-PRO,Mastodon SBF-185 Cylinder Head Ass,31851.15,31849.99,-1.16
MMR-91611285-STN,MMR-91611285-STN,"Mastodon Intake Manifold, Dual Plane SBC, Alum",8161.15,8159.99,-1.16
MMR-72028,MMR-72028,Mastodon Intake Manifold SBC – Satin 57-95,6788.83,6789.99,+1.16
MMR-LY-7-2G-004,MMR-LY-7-2G-004,Mastodon 7inch LED Headlight Black,1341.13,1339.99,-1.14
MMR-7007,MMR-7007,"Mastodon Spring Plates 3U bolts, 65-73 Mustang",2308.86,2309.99,+1.13
BB214J020,BB214J020,Enginetech Ford 289302 Windsor Rod Bearing Set (0.,1071.10,1069.99,-1.11
MMR-11092,MMR-11092,Mastodon Throttle Return Springs & Bracket Kit,128.88,129.99,+1.11
MMR-4434,MMR-4434,Mastodon Oil Cooler Mounting Bracket,408.89,409.99,+1.10
SUM-66256,SUM-66256,Summit Starter Bolt & Shim Kit SBC,638.89,639.99,+1.10
MMR-38006,MMR-38006,Mastodon High Heat Spark Plug Wires Set,678.90,679.99,+1.09
MMR-38005,MMR-38005,Performance LS1 Vortec Spark Plugs (Set) Mastodon,678.90,679.99,+1.09
MMR-75009,MMR-75009,"Mastodon Valve Covers, Tall Aluminium, Satin Black LS",3481.07,3479.99,-1.08
MMR-3302,MMR-3302,Mastodon Ignition Switch Panel Type B Carbon Fibre,1011.07,1009.99,-1.08
MMR-15007,MMR-15007,Mastodon 2×10 Stainless Steel Overflow Tank,571.02,569.99,-1.03
MMR-15006,MMR-15006,Mastodon 2×13 Stainless Steel Overflow Tank,571.02,569.99,-1.03
ASF-52,ASF-52,Motorcraft Autolite Spark Plugs,70.99,69.99,-1.00
EDL-4446,EDL-4446,Edelbrock Signature Series Chrome Valve Covers SBC,1480.98,1479.99,-0.99
MMR-34743,MMR-34743,Mastodon TH400/4L80E Extension Housing Oil Seal (Large) OD (,210.98,209.99,-0.99
MMR-GW-030,MMR-GW-030,"Mastodon Exhaust Header, S/S Short Chevy LS",5359.00,5359.99,+0.99
MMR-11131,MMR-11131,Mastodon SBC/BBC Chevy Oil Filter Adapter Spin-On,490.98,489.99,-0.99
MMR-7489,MMR-7489,Mastodon SBC Valve Cover Gasket Centre Bolt,290.97,289.99,-0.98
MMR-5124-B,MMR-5124-B,Mastodon Chevy LS 8mm 135 Degree Plug Boots BLACK,660.96,659.99,-0.97
MMR-51244-B,MMR-51244-B,Mastodon 8mm LS 8″ Ignition Wire with 180 Degree Plug Boots,660.96,659.99,-0.97
MMR-51245-R,MMR-51245-R,Mastodon LS Car 8mm Spark Plug 135 Degree Plug Boots Red,660.96,659.99,-0.97
MMR-51046-B,MMR-51046-B,"Mastodon LS Truck 8mm 10″ L, 135 Degree Plug Boots BK",660.96,659.99,-0.97
MMR-51046-R,MMR-51046-R,Mastodon LS Truck 8mm135 Degree Plug Boots R,660.96,659.99,-0.97
MMR-51244-R,MMR-51244-R,Mastodon 8mm LS 8″ Ignition Wire with 180 Degree Plug Boot,660.96,659.99,-0.97
MMR-11370,MMR-11370,SBF Brass Freeze Plug Kit (260-302) Mastodon,290.96,289.99,-0.97
MMR-11077,MMR-11077,Mastodon Intake Manifold Heater Hose 1/2 inch NPT F,199.05,199.99,+0.94
MMR-GW-033,MMR-GW-033,Mastodon Block Hugger LS Univ Ram Horns LS1-LS6,6289.06,6289.99,+0.93
MMR-SBC 195-PRO,MMR-SBC 195-PRO,Mastodon Pro Series SBC Cylinder Heads 195cc Intake (Pair),30509.07,30509.99,+0.92
MMR-6081,MMR-6081,Mastodon Quick Release Kit Hood Pin Pattern,149.07,149.99,+0.92
MMR-PRAUD,MMR-PRAUD,"Mastodon Under Dash, 90 Deg, Brake Master / Booste",6189.08,6189.99,+0.91
MMR-32008-BL,MMR-32008-BL,"Mastodon Water Neck, Black, SBC, BBC, Mopar",319.10,319.99,+0.89
MMR-UDB-090,MMR-UDB-090,Mastodon Under-Dash 90-Degree Brake,6189.12,6189.99,+0.87
MMR-8967,MMR-8967,Mastodon Alternator Pulley Delco Single Groove Chr,279.13,279.99,+0.86
MMR-39039,MMR-39039,Mastodon Chevy Th350 Chrome Steel Dipstick Transmi,430.84,429.99,-0.85
FT1502/10,FT1502/10,Smoothie Classic Steel Wheel 15 x 10 ETO,3820.84,3819.99,-0.85
MMR-3102,MMR-3102,Mastodon Exhaust Flame Thrower Kit,2239.15,2239.99,+0.84
MMR-3301,MMR-3301,Mastodon Ignition Switch Panel Type A Carbon Fibre,919.15,919.99,+0.84
MMR-43025,MMR-43025,Mastodon Subframe Body Mount Bushing Kit With Hard,1099.15,1099.99,+0.84
MMR-25013,MMR-25013,Mastodon Polished Alternator Bracket For Long Wate,790.83,789.99,-0.84
AP-7600,AP-7600,High Performance 4 Pot Discs SET,25940.81,25939.99,-0.82
MMR-50018,MMR-50018,"Mastodon Ignition Coil ,65K Volt",490.76,489.99,-0.77
MMR-13690,MMR-13690,Wheel Spinner 3 Bar,800.76,799.99,-0.77
EDL-7589,EDL-7589,Edelbrock Performer CRC Hemi Gen I Valve Cover Gasket,2640.75,2639.99,-0.76
MMR-75026,MMR-75026,"Mastodon Vintage Finned Valve Covers, GM LS, Hidden Coils",6029.23,6029.99,+0.76
MMR-11369,MMR-11369,"Mastodon PCV Valve and Grommet, 3/4″, Fits 1.25″ ID, Polishe",490.75,489.99,-0.76
KD2018,KD2018,K&N Cone Filter Short Type,340.75,339.99,-0.76
MMR-1009-BK,MMR-1009-BK,"Mastodon Throttle Body, 92Mm, Black",2320.72,2319.99,-0.73
BB253J030,BB253J030,Enginetech SBC Rod Bearing Large Journal (0.30mm),670.71,669.99,-0.72
MMR-UJ-3/4,MMR-UJ-3/4,Mastodon Universal U Joint Coupler 3/4 DD X 3/4 V Fit for,940.67,939.99,-0.68
BLK4002BLT040FB,BLK4002BLT040FB,"Engine Block 400, 2 Bolt Main, 040, Fresh Bore",12169.31,12169.99,+0.68
BLK460030,BLK460030,"Engine Block, Ford 460, 030. Block Only",12169.31,12169.99,+0.68
WHK-2100,WHK-2100,21 Circuit Wiring harness Kit with 20″ headlight,4119.33,4119.99,+0.66
MMR-FO-007,MMR-FO-007,"Mastodon Block Hugger Headers,Ford Windsor 289-351",5390.63,5389.99,-0.64
MMR-26422,MMR-26422,C4 Transmission Filter Internal,180.60,179.99,-0.61
P1501-8-030,P1501-8-030,Enginetech Piston Ford Flat Top 4BBL 289/302 Winds,2910.57,2909.99,-0.58
MMR-28082,MMR-28082,Mastodon GM Hydroboost Repair Kit 2771004,430.56,429.99,-0.57
MMR-39018,MMR-39018,Mastodon Stainless Flexible Oil Dipstick Small Block,430.56,429.99,-0.57
MMR-11214,MMR-11214,Mastodon Valve Cover Hold Downs Minitab 1-1/2″ 12PC,180.56,179.99,-0.57
KNDI-505,KNDI-505,351/460 Ford HEI PE331,2500.56,2499.99,-0.57
MMR-20047-BL,MMR-20047-BL,"Mastodon Air Cleaner Filter Element, 14″x3″ , Blue",350.53,349.99,-0.54
MMR-25107,MMR-25107,Mastodon Ls1 Billet Aluminium Manual Belt Tensioner,840.52,839.99,-0.53
MMR-25096,MMR-25096,Mastodon Sbc Double Groove Swp Pulley,840.52,839.99,-0.53
EP84A,EP84A,Enginetech Oil Pump Ford 351 Cleveland,2029.50,2029.99,+0.49
MMR-11118,MMR-11118,Mastodon SBF Valve Cover Bolt Set 289/302/351W,310.48,309.99,-0.49
MMR-3009,MMR-3009,"Mastodon Stand Alone Wire Harness, LS1 97-06 T56 D",3589.50,3589.99,+0.49
MMR-3806,MMR-3806,Mastodon Header Gasket For 65-90 Big Block Chevy 3,319.53,319.99,+0.46
MMR-3809,MMR-3809,Mastodon Header Gasket For 69-74 Small Block Ford,319.53,319.99,+0.46
KD-7115,KD-7115,"Akrapovic Exhaust Muffler Tip, Carbon Fiber, Round End",1450.45,1449.99,-0.46
LOK-KDP-2400HT,LOK-KDP-2400HT,Lokar Hi-Tech Chevy Carburetor TH400 Automatic,4110.43,4109.99,-0.44
MMR-13138,MMR-13138,Mastodon Chrome Window Crank Handle (Ford Truck),280.43,279.99,-0.44
MMR-26317-BK,MMR-26317-BK,"Mastodon Air Cleaner, Oval Half Finned Polished Al",1780.42,1779.99,-0.43
A-2268,A-2268,Anchor GMC Chevy Transmission Mount,169.57,169.99,+0.42
MMR-6121,MMR-6121,Mastodon SBC 2 Piece Rear Main Gasket set,1490.39,1489.99,-0.40
MMR-15008,MMR-15008,Mastodon Radiator Overflow Tank 3×10 Stainless Ste,599.59,599.99,+0.40
KD6078,KD6078,Kyostar Magnetic Oil Drain Plug,170.37,169.99,-0.38
MMR-02127,MMR-02127,"Mastodon Distributor Wire Harness, HEI, Connector",69.62,69.99,+0.37
MMR-4146,MMR-4146,Mastodon 3 inch Stainless Steel V-Band Flange Clamp,749.63,749.99,+0.36
MMR-25139,MMR-25139,Mastodon Polished Stainless Steel Engine Motor Mounts SBC/BB,1939.67,1939.99,+0.32
MMR-38022-BL,MMR-38022-BL,Mastodon Universal Spark Plug Wire Set 8mm 90 Degree,1939.67,1939.99,+0.32
MMR-02064-C,MMR-02064-C,Mastodon Chrome 7mm/8mm Spark Plug Wire Separators,70.31,69.99,-0.32
MMR-2561147046-STN,MMR-2561147046-STN,"Mastodon Intake Manifold, Dual Plane Alum, SBF 351",8370.29,8369.99,-0.30
ARP 154-0903,ARP 154-0903,ARP Bellhousing Bolt Kits,2669.70,2669.99,+0.29
MMR-MBP001,MMR-MBP001,Mastodon Manual Brake Pedal,1830.27,1829.99,-0.28
MMR-1571,MMR-1571,"Mastodon Cooling Fan, Mechanical, 6 Blades",1699.72,1699.99,+0.27
MMR-25103,MMR-25103,"Mastodon, 1 Single Groove Upper Pulley",890.20,889.99,-0.21
MMR-121805-ST,MMR-121805-ST,Mastodon Satin 9B Horn Button,750.20,749.99,-0.21
300-160,300-160,SBC Thermostat,210.20,209.99,-0.21
MMR-25128,MMR-25128,"Mastodon Transmission Band, 4L60E, 4L65E",580.18,579.99,-0.19
EP68,EP68,Enginetech Ford 289 302 Oil Pump,2430.17,2429.99,-0.18
MMR-43023-BK,MMR-43023-BK,Mastodon GM Old Blocks Transmission Mount Polyurethane,670.17,669.99,-0.18
MMR-49012,MMR-49012,Mastodon Ford SBF Fuel Pump,969.83,969.99,+0.16
MMR-59005,MMR-59005,Mastodon Universal Adjustable Prop Valve,969.83,969.99,+0.16
MMR-25098,MMR-25098,Mastodon Crankshaft Pulley 1-Groove LWP SBC Aluminium,969.83,969.99,+0.16
MMR-49013,MMR-49013,Mastodon Ford Mechanical Fuel Pump 6 PSI FE 352-42,969.83,969.99,+0.16
MMR-16032,MMR-16032,Mastodon Universal Adjustable Column Shift Linkage,969.83,969.99,+0.16
MMR-208,MMR-208,Transmission Dipstick Flexible SS SBC/BBC Mastodon,1080.15,1079.99,-0.16
MMR-50007,MMR-50007,Mastodon Ignition Coil,1199.84,1199.99,+0.15
MMR-58022,MMR-58022,Mastodon Overhaul Gasket FUll Set,1199.84,1199.99,+0.15
MMR-8440,MMR-8440,Mastodon Valve Cover Polished SBF 289-351W,3009.87,3009.99,+0.12
F302-4,F302-4,GASKET FORD 4.3L 260 4.7L 289 5.0L 302 OE UMB VSS,1740.10,1739.99,-0.11
MMR-LY-HL-001-X-BL,MMR-LY-HL-001-X-BL,Mastodon Black 7 inch LED Headlight,1159.88,1159.99,+0.11
MMR-SBC195EV,MMR-SBC195EV,SBC 195 Exhaust Valve Size 1.6 L 4.97 Stem 8.0mm,390.09,389.99,-0.10
MMR-8852,MMR-8852,Mastodon SBC Short Water Pump Upper Pulley Double,669.90,669.99,+0.09
PS35MR04,PS35MR04,"Rear View Mirror Parking Kit, 4.3″ TFT Mirror",3900.06,3899.99,-0.07
MMR-TH350-3-51405,MMR-TH350-3-51405,Mastodon TH350 GM Filler Tube Top Hat Seal,139.93,139.99,+0.06
MMR-150103,MMR-150103,Mastodon Racing Mini Starter SB/BB Chevy,3680.02,3679.99,-0.03
